name,lat,lng,hex_id
捷運西湖站,25.08235,121.566541,894ba0a6b97ffff
福美站,25.100447,121.504489,894ba0a656bffff
法藏寺,25.138993,121.512427,894ba56944bffff
行義路一,25.133144,121.52864,894ba56901bffff
建民里,25.1025413796071,121.512544103686,894ba0a6193ffff
國泰新村,25.1435377973513,121.498005120919,894ba0b4907ffff
桃源國中,25.1352415152076,121.478414765473,894ba0b483bffff
捷運奇岩站,25.1260036105105,121.499599355653,894ba5696cbffff
捷運石牌站(東�,25.1149177701133,121.515721919547,894ba5692c3ffff
士林區行政中�,25.092578398549,121.520387443328,894ba0a610fffff
東吳大學(錢穆�,25.09702,121.541893,894ba0a6c73ffff
故宮博物院,25.1002044633105,121.550516425321,894ba0a6c23ffff
乾坑子,25.14201,121.558338,894ba569107ffff
溪山派出所,25.119813999441,121.58473241964,894ba569a87ffff
紗帽橋,25.148165,121.533402,894ba56955bffff
富洲里九段,25.1060657708899,121.474287954705,894ba0a64d7ffff
內湖國中,25.076894,121.587864,894ba1d36cfffff
賴厝,25.113661,121.52719,894ba56920fffff
職能發展學院,25.11433,121.53922,894ba56935bffff
五常街口,25.0640382699951,121.54450537732,894ba0a6a57ffff
華山公園(市民),25.047122,121.526495,894ba0a40a7ffff
懷生國宅,25.0445812164731,121.535592170073,894ba0a4157ffff
防癆協會,25.0639500723418,121.518461311542,894ba0a45d7ffff
基隆路口,25.048356,121.568963,894ba0a4c67ffff
復盛京華(往西),25.04688,121.56152,894ba0a4c47ffff
基隆路口一,25.0501541258807,121.569620946189,894ba0a4c2bffff
捷運南港站,25.0523673035021,121.608351845297,894ba0a49a7ffff
成功中學(林森),25.0429245302607,121.522688737242,894ba0a4033ffff
延平中學,25.035923,121.538301,894ba0a43b7ffff
吳興街站,25.02324,121.56976,894ba0a4a8fffff
復興南路（中�,25.0465,121.54377,894ba0a4107ffff
貓空纜車站,24.968307,121.588052,894ba1da257ffff
頂好市場,25.041471,121.54638,894ba0a4167ffff
捷運國父紀念�,25.041997,121.557774,894ba0a4eb3ffff
捷運萬芳社區�,24.998586,121.569556,894ba0a5923ffff
台電大樓,25.0181242298867,121.531242919547,894ba0a5cb7ffff
政大三街,24.9858128333877,121.582577896122,894ba1da633ffff
憲光公寓,24.9997606733005,121.544010014907,894ba0a58a3ffff
捷運龍山寺站,25.035369,121.500584,894ba0a463bffff
市民東寧路口,25.04731,121.56246,894ba0a4c73ffff
新北投,25.1377878885811,121.503116860832,894ba0b4967ffff
捷運大橋頭站,25.062346,121.513712,894ba0a45d3ffff
豐台煤礦,25.0249728404282,121.624480075122,894ba1d1293ffff
福聖宮(山水綠�,25.02983169705,121.621327582177,894ba1d163bffff
指南宮(後山站),24.9785084597734,121.591916919547,894ba1da287ffff
護國九天宮,25.0181521125487,121.623444406143,894ba1d12c7ffff
富安國小,25.1060411036857,121.483314629309,894ba0a64abffff
華山公園(市民�,25.04682,121.52862,894ba0a41dbffff
師大分部,25.008326,121.537889,894ba0a5c27ffff
興安華城,25.055328,121.544288,894ba0a41b3ffff
南昌家具街,25.0271947673077,121.520872213921,894ba0a43dbffff
強恕中學,25.0248602145226,121.520519399553,894ba0a4237ffff
惇敘工商(行義),25.1435012492748,121.5272523949,894ba569093ffff
捷運芝山站(福�,25.1019166191884,121.524190960825,894ba0a61a3ffff
大埔(明玄宮),25.1431074666186,121.53560208412,894ba5690b3ffff
頂坪,25.1527681782416,121.539259593292,894ba56950bffff
臥龍富陽街口,25.018574,121.557095,894ba0a4adbffff
頂湖山,25.1732946833253,121.540701006595,894ba5686cfffff
世界山莊,25.0052307701133,121.563715390793,894ba0a59bbffff
華山公園(市民�,25.046487,121.528667,894ba0a41dbffff
菁山一,25.145048,121.557714,894ba5691bbffff
新湖行忠路口,25.0642,121.57789,894ba0a4d9bffff
台北美國 / 日�,25.11569,121.52816,894ba569207ffff
行政院,25.046484,121.51976,894ba0a40bbffff
陽明書屋(正門),25.162613,121.540722,894ba569587ffff
臺視,25.048248,121.551437,894ba0a4127ffff
居安新村,25.1211924950466,121.555312749766,894ba569323ffff
萬美社區,25.003568,121.562559,894ba0a598fffff
憲光公寓,24.999489556266,121.543825935426,894ba0a58a3ffff
竹子湖路4-1號,25.1643156690455,121.544286458019,894ba5695b3ffff
民生東路口,25.058796,121.530146,894ba0a453bffff
陽明教養院,25.110508,121.548654,894ba56936bffff
捷運萬芳醫院�,24.999051,121.557681,894ba0a59c7ffff
建民里一,25.1055213793203,121.512175919547,894ba0a652fffff
臺灣警察專科�,24.9982684874929,121.558494894192,894ba0a591bffff
菁山二,25.146567,121.558714,894ba5691bbffff
幽雅路35號,25.137444,121.515467,894ba5696b7ffff
懷生國小,25.044768989858,121.54179902083,894ba0a410fffff
港墘,25.080685372715,121.57782510185,894ba0a6ba7ffff
湖興,25.0680308659982,121.590661157725,894ba0a4db7ffff
幼華高中(大業),25.135718,121.496807,894ba0b497bffff
上北投,25.141871,121.513866,894ba569443ffff
中國電視公司,25.056779,121.599311,894ba1d325bffff
幼華高中(大業),25.133805,121.496138,894ba0b496bffff
大崙尾山,25.106839,121.569896,894ba0a6d23ffff
大埔一,25.1426895280174,121.533125256721,894ba569087ffff
內寮,25.142287997916,121.57797615211,894ba569c73ffff
石崁,25.103707005694,121.59490141769,894ba1d349bffff
北投分局,25.1331002821125,121.500576871349,894ba0b496fffff
捷運台北101/世�,25.032733,121.561564,894ba0a4e3bffff
捷運台北101/世�,25.032742,121.563646,894ba0a4e23ffff
芝山岩,25.101208762614,121.536684373016,894ba0a6c1bffff
